Waktu,Vol ASI,Relaksasi EEG,Relaksasi User
14:55:05,126,0.99,0
14:55:06,126,0.972,0
14:55:07,126,0.989,0
14:55:08,126,0.985,0
14:55:09,126,0.98,0
14:55:10,126,0.99,0
14:55:11,126,0.974,0
14:55:12,126,0.99,0
14:55:13,126,0.982,0
14:55:14,126,0.981,0
14:55:15,126,0.991,0
14:55:16,126,0.963,0
14:55:17,126,0.989,0
14:55:18,126,0.973,0
14:55:19,126,0.978,0
14:55:20,126,0.982,0
14:55:21,126,0.969,0
14:55:22,126,0.987,0
14:55:23,126,0.971,0
14:55:24,126,0.985,0
14:55:25,126,0.989,0
14:55:26,126,0.977,0
14:55:27,126,0.992,0
14:55:28,126,0.975,0
14:55:29,126,0.989,0
14:55:30,126,0.986,0
14:55:31,126,0.974,0
14:55:32,126,0.989,0
14:55:33,126,0.964,0
14:55:34,126,0.987,0
14:55:35,126,0.984,0
14:55:36,126,0.981,0
14:55:37,126,0.992,0
14:55:38,126,0.973,0
14:55:39,126,0.988,0
14:55:40,126,0.985,0
14:55:41,126,0.977,0
14:55:42,126,0.991,0
14:55:43,126,0.972,0
14:55:44,126,0.99,0
14:55:45,126,0.99,0
14:55:46,126,0.978,0
14:55:47,126,0.992,0
14:55:48,126,0.966,0
14:55:49,126,0.986,0
14:55:50,126,0.982,0
14:55:51,126,0.974,0
14:55:52,126,0.989,0
14:55:53,126,0.962,0
14:55:54,126,0.988,0
14:55:55,126,0.982,0
14:55:56,126,0.979,0
14:55:57,126,0.989,0
14:55:58,126,0.971,0
14:55:59,126,0.988,0
14:56:00,126,0.985,0
14:56:01,126,0.979,0
14:56:02,126,0.99,0
14:56:03,126,0.969,0
14:56:04,126,0.986,0
14:56:05,126,0.986,0
14:56:06,126,0.986,0
14:56:07,126,0.994,0
14:56:08,126,0.981,0
14:56:09,126,0.992,0
14:56:10,126,0.984,0
14:56:11,126,0.979,0
14:56:12,126,0.99,0
14:56:13,126,0.965,0
